Black Blossom, Boban Kneževic, Book Barn

The Blood Forest, Sara C. Roethle, Book Barn

The Chronicles of Narnia, C.S. Lewis - see at N, below, Book Barn

The Dark Is Rising sequence, Susan Cooper, Book Barn

Ella Enchanted, Gail Carson Levine, Book Barn

The Empire Trilogy, Raymond E. Feist and Janny Wurts, Book Barn

Eon: Dragoneye Reborn, Alison Goodman, Book Barn

Policeman Bluejay, L. Frank Baum, Book Barn

Kandide and the Secret of the Mists, Diana S. Zimmerman, Book Barn

Khaled: A Tale of Arabia, F. Marion Crawford, Book Barn

Kingdom, Yasuhisa Hara, Book Barn

Wonder woman, William Moulton Marston, Book Barn

The Life and Opinions of the Tomcat Murr , E. T. A. Hoffmann, Book Barn

The Kin of Ata Are Waiting for You, Dorothy Bryant, Book Barn

The Khaavren Romances, Steven Brust, Book Barn

Letters from a Lost Uncle, Mervyn Peake, Book Barn

The Haunting of Hill House, Shirley Jackson, Book Barn

Flesh and Fire, Laura Anne Gilman, Book Barn

Fearsome Creatures of the Lumberwoods , William T. Cox, Book Barn

Eldest, Christopher Paolini, Book Barn
